dictionary_type,period_or_domain,item,classification,proxy_action,notes
reason_for_use,2013-2018,L64 family,hair loss,retain,"Androgenetic alopecia family"
reason_for_use,2013-2018,L65.9,hair loss,retain,"Nonscarring hair loss, unspecified"
reason_for_use,2013-2018,N40 family,prostate disease,exclude,"Benign prostatic hyperplasia"
reason_for_use,2013-2018,N42.9,prostate disease,exclude,"Disorder of prostate, unspecified"
reason_for_use,2013-2018,C61,prostate disease,exclude,"Malignant neoplasm of prostate"
reason_for_use,2013-2018,L98.9,indeterminate,"retain only when age <40 years","Nonspecific dermatologic code; composite proxy evidence"
reason_for_use,2013-2018,lower urinary tract or genitourinary code,indeterminate,"apply age criterion","All observed users were aged >=40 years"
reason_for_use,2013-2018,99999 / 77777 / 55555,indeterminate,"apply age criterion","Unknown, refused, or unclassifiable reason"
reason_for_use,2013-2018,unrelated condition,indeterminate,"apply age criterion","Reported reason not plausibly hair loss or prostate disease"
questionnaire,1999-2000,KIQ120 / KIQ200,prostate-condition questionnaire,"retain negative; exclude positive","General prostate ascertainment for eligible men"
questionnaire,2001-2002,KIQ106 / KIQ121 / KID182,prostate-condition questionnaire,"retain negative; exclude positive","General prostate question from age 20; detailed enlarged-prostate items from age 40"
questionnaire,2003-2004,KIQ106 / KIQ121 / KIQ182,prostate-condition questionnaire,"retain negative; exclude positive","General prostate question from age 20; detailed enlarged-prostate items from age 40"
questionnaire,2005-2006,KIQ490 / KIQ121 / KIQ182,prostate-condition questionnaire,"retain negative; exclude positive","General prostate question from age 20; detailed enlarged-prostate items from age 40"
questionnaire,2007-2008,KIQ490 / KIQ121 / KIQ182,prostate-condition questionnaire,"retain negative; exclude positive","General prostate question from age 20; detailed enlarged-prostate items from age 40"
age_rule,all applicable periods,age <40 years,prespecified age criterion,retain,"Applied when neither usable prostate-condition questionnaire evidence nor an interpretable medication indication was available"
age_rule,all applicable periods,age >=40 years,prespecified age criterion,exclude,"Conservative rule prioritizing specificity"
concurrent_medication,BPH-suggestive,tamsulosin / alfuzosin / silodosin / dutasteride / dutasteride-tamsulosin,BPH-suggestive,flag,"Agents strongly suggestive of prostate-directed treatment"
concurrent_medication,dual-indication,doxazosin / terazosin / tadalafil,ambiguous,flag,"Common prostate and nonprostate indications"
